No.,Name,Equipe,Lap,PT Tm,Etapa
0,Caca Bueno,KTF Sports,6,1:42.730,Goiânia-GO
4,Julio Campos,Pole Motorsport,8,51.986,Goiânia-GO
8,Rafael Suzuki,TMG Racing,6,50.527,Goiânia-GO
10,Ricardo Zonta,RCM Motorsport,9,52.050,Goiânia-GO
11,Gaetano Di Mauro,Cavaleiro Sports,6,51.942,Goiânia-GO
12,Lucas Foresti,A Mattheis Vogel,6,51.113,Goiânia-GO
18,Allam Khodair,Blau Motorsport,6,1:07.845,Goiânia-GO
18,Allam Khodair,Blau Motorsport,10,1:08.305,Goiânia-GO
18,Allam Khodair,Blau Motorsport,13,44.170,Goiânia-GO
19,Felipe Massa,TMG Racing,14,52.091,Goiânia-GO
21,Thiago Camilo,Ipiranga Racing,6,53.670,Goiânia-GO
28,Enzo Elias,Crown Racing,11,53.285,Goiânia-GO
29,Daniel Serra,Eurofarma-RC,1,,Goiânia-GO
30,Cesar Ramos,Ipiranga Racing,14,50.660,Goiânia-GO
33,Nelson Piquet Jr,Cavaleiro Sports,11,50.848,Goiânia-GO
35,Gabriel Robe,Garra Racing,11,55.227,Goiânia-GO
37,Raphael Teixeira,,13,52.716,Goiânia-GO
38,Zezinho Muggiati,KTF Racing,10,54.693,Goiânia-GO
44,Bruno Baptista,RCM Motorsport,8,52.539,Goiânia-GO
51,Atila Abreu,Pole Motorsport,6,50.592,Goiânia-GO
51,Atila Abreu,Pole Motorsport,13,43.941,Goiânia-GO
81,Arthur Leist,Full Time Sports,6,50.758,Goiânia-GO
83,Gabriel Casagrande,A Mattheis Vogel,7,49.835,Goiânia-GO
85,Guilherme Salas,KTF Racing,9,51.325,Goiânia-GO
88,Felipe Fraga,Blau Motorsport,7,51.027,Goiânia-GO
90,Ricardo Mauricio,Eurofarma-RC,6,51.448,Goiânia-GO
91,Eduardo Barrichello,Mobil Ale,8,49.249,Goiânia-GO
95,Lucas Kohl,Garra Racing,6,54.224,Goiânia-GO
101,Gianluca Petecof,Full Time Sports,7,53.168,Goiânia-GO
111,Rubens Barrichello,Mobil Ale,13,53.964,Goiânia-GO
121,Felipe Baptista,Crown Racing,6,1:07.019,Goiânia-GO
0,Caca Bueno,KTF Sports,16,1:00.342,Goiânia-GO
4,Julio Campos,Pole Motorsport,16,1:00.166,Goiânia-GO
8,Rafael Suzuki,TMG Racing,10,56.154,Goiânia-GO
10,Ricardo Zonta,RCM Motorsport,10,58.126,Goiânia-GO
12,Lucas Foresti,A Mattheis Vogel,12,57.618,Goiânia-GO
18,Allam Khodair,Blau Motorsport,11,57.319,Goiânia-GO
19,Felipe Massa,TMG Racing,11,55.644,Goiânia-GO
21,Thiago Camilo,Ipiranga Racing,10,59.887,Goiânia-GO
28,Enzo Elias,Crown Racing,12,56.328,Goiânia-GO
29,Daniel Serra,Eurofarma-RC,15,57.087,Goiânia-GO
30,Cesar Ramos,Ipiranga Racing,11,56.425,Goiânia-GO
33,Nelson Piquet Jr,Cavaleiro Sports,14,1:00.129,Goiânia-GO
35,Gabriel Robe,Garra Racing,11,1:09.461,Goiânia-GO
38,Zezinho Muggiati,KTF Racing,16,58.786,Goiânia-GO
44,Bruno Baptista,RCM Motorsport,11,57.580,Goiânia-GO
51,Atila Abreu,Pole Motorsport,15,59.578,Goiânia-GO
81,Arthur Leist,Full Time Sports,13,55.849,Goiânia-GO
83,Gabriel Casagrande,A Mattheis Vogel,13,57.378,Goiânia-GO
85,Guilherme Salas,KTF Racing,13,58.476,Goiânia-GO
88,Felipe Fraga,Blau Motorsport,2,56.080,Goiânia-GO
88,Felipe Fraga,Blau Motorsport,0,16:56.960,Goiânia-GO
90,Ricardo Mauricio,Eurofarma-RC,16,56.016,Goiânia-GO
91,Eduardo Barrichello,Mobil Ale,17,57.401,Goiânia-GO
95,Lucas Kohl,Garra Racing,14,1:53.034,Goiânia-GO
101,Gianluca Petecof,Full Time Sports,11,55.832,Goiânia-GO
111,Rubens Barrichello,Mobil Ale,16,55.926,Goiânia-GO
121,Felipe Baptista,Crown Racing,14,55.478,Goiânia-GO
0,Caca Bueno,KTF Sports,8,44.443,Velocitta-SP
4,Julio Campos,Pole Motorsport,6,43.425,Velocitta-SP
8,Rafael Suzuki,TMG Racing,7,42.639,Velocitta-SP
10,Ricardo Zonta,RCM Motorsport,7,42.671,Velocitta-SP
11,Gaetano Di Mauro,Cavaleiro Sports,8,44.526,Velocitta-SP
12,Lucas Foresti,A Mattheis Vogel,8,43.861,Velocitta-SP
18,Allam Khodair,Blau Motorsport,13,44.083,Velocitta-SP
18,Allam Khodair,Blau Motorsport,15,,Velocitta-SP
19,Felipe Massa,TMG Racing,11,42.454,Velocitta-SP
21,Thiago Camilo,Ipiranga Racing,6,43.834,Velocitta-SP
28,Enzo Elias,Crown Racing,7,43.195,Velocitta-SP
29,Daniel Serra,Eurofarma-RC,12,43.955,Velocitta-SP
30,Cesar Ramos,Ipiranga Racing,7,43.579,Velocitta-SP
33,Nelson Piquet Jr,Cavaleiro Sports,9,43.506,Velocitta-SP
